Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-09-11,GTM,ZoomInfo,Communication Services,81.29,72.7,96.8,1.11B,2471718144.0,1.3638359231637676,32.22%,0.01928721174004193,0.26066426570628254,-0.004344733749768075,1.0838131797824697,0.0,12.64%,-39.68%,96.9,要確認: FCF異常値(>30%)
2026-09-11,INVA,"Innoviva, Inc.",Health Care,78.13,92.5,63.9,1.49B,1241884928.0,0.7857748139869116,7.39%,0.16583341742270657,0.8991291621285203,0.2567944599019261,3.325629539526778,0.0,47.97%,-7.93%,70.7,
2026-09-11,COLL,"Collegium Pharmaceutical, Inc.",Health Care,76.99,84.2,99.4,0.71B,1834589696.0,0.42776726561277706,45.95%,0.037945865427677125,0.5137355281481282,-0.004061695452788576,0.1735518083008001,0.0,0.39%,-49.76%,99.1,要確認: FCF異常値(>30%)
2026-09-11,AGO,Assured Guaranty Ltd.,Financials,76.94,49.4,15.8,3.21B,3697857280.0,1.765602460898269,0.46%,0.0413107752956636,,0.02310730190740274,,,3.95%,-14.85%,79.1,金融・不動産セクター特化評価
2026-09-11,LEG,Leggett & Platt,Consumer Discretionary,74.57,74.8,93.2,1.26B,2358418688.0,0.8133731876698909,19.21%,0.06656486822757607,0.11960247589455254,-0.034192702643653046,2.6881308736512355,0.0,18.45%,,50.0,
2026-09-11,DLX,Deluxe Corporation,Industrials,72.35,70.8,87.7,1.08B,2535742720.0,0.6281820504523915,15.86%,0.028670205335940772,0.1776673542096381,0.011515365595196043,0.03750342184505886,0.0,40.95%,-6.41%,67.0,
2026-09-11,LCII,LCI Industries,Consumer Discretionary,72.18,56.2,81.3,2.21B,3200363776.0,0.6149731262176245,11.96%,0.05927291264101522,0.09995349364158372,0.09715832757288308,0.1979472567092141,0.0,8.88%,-39.37%,96.6,
2026-09-11,HE,"Hawaiian Electric Industries, Inc.",Utilities,72.03,41.9,90.3,1.79B,4370385408.0,0.8957020046746089,18.11%,0.014152494951461293,0.18701277918012138,-0.0009558394771892833,1.4194423555482898,0.0,1.41%,-36.32%,94.7,
2026-09-11,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,71.96,89.8,94.5,1.01B,1399542144.0,0.7797965408254909,22.75%,0.060206260483803155,0.2949157298298205,0.0328557753871706,-0.23441466651280868,1.0,55.4%,-13.68%,78.2,
2026-09-11,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,71.34,80.7,59.0,1.55B,2066260992.0,1.1915777404268542,6.44%,0.04987519286266828,0.7935289804666203,-0.0030230689300926347,-0.15148018446519967,1.0,56.11%,32.35%,19.0,金融・不動産セクター特化評価
2026-09-11,CRI,"Carter's, Inc.",Consumer Discretionary,70.79,87.6,94.2,1.12B,1639499648.0,0.8280640755496127,22.09%,0.03578135780188425,0.07014979854583142,0.05437481274404922,-0.36474352164866,1.0,18.97%,-18.44%,82.2,
2026-09-11,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,70.75,84.8,70.3,1.61B,1780417152.0,0.3353765931237897,8.2%,0.05438645576817736,0.2346343418243401,0.12137934041226374,2.2836615389490027,0.0,2.05%,-8.49%,71.0,
2026-09-11,CENTA,Central Garden & Pet Company (Class A),Consumer Staples,70.67,70.2,87.4,2.17B,2560666112.0,0.7283274516149318,15.75%,0.044914240039628836,0.11483977317178555,0.02031947079997715,0.23587232037529363,0.0,59.07%,3.7%,50.8,
2026-09-11,FLO,Flowers Foods,Consumer Staples,70.58,71.7,92.3,1.29B,2505998592.0,1.0096419654755424,18.59%,0.020035321441128184,0.06832710641476927,0.23038559342345286,-0.3162516824328312,1.0,0.98%,-43.96%,98.4,
2026-09-11,AMSF,"Amerisafe, Inc.",Financials,70.36,99.1,67.1,0.46B,368048064.0,0.5430651871968352,7.82%,0.04170116333375791,,-0.02353360839737051,,,3.15%,-33.66%,94.1,金融・不動産セクター特化評価
