Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-07-24,GTM,ZoomInfo,Communication Services,84.26,76.0,98.7,0.86B,2242287872.0,1.7531267032764113,41.23%,0.01928721174004193,0.26066426570628254,-0.004344733749768075,1.0838131797824697,0.0,3.81%,-71.15%,99.7,要確認: FCF異常値(>30%)
2026-07-24,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,77.69,92.7,85.4,0.83B,1226460416.0,0.9556413945251128,12.49%,0.060206260483803155,0.2949157298298205,0.0328557753871706,-0.23441466651280868,1.0,14.17%,-30.97%,94.1,
2026-07-24,INVA,"Innoviva, Inc.",Health Care,77.54,91.2,63.4,1.58B,1284232448.0,0.7411506520765324,6.65%,0.16583341742270657,0.8991291621285203,0.2567944599019261,3.325629539526778,0.0,57.01%,8.28%,60.2,
2026-07-24,EFOR,Everforth Inc.,Information Technology,75.98,77.2,96.8,0.84B,2193540096.0,2.1359223300970873,31.98%,0.030865036847687162,0.086373228821224,0.07241178186060075,-0.14200149737958573,1.0,9.55%,-58.82%,99.1,要確認: FCF異常値(>30%)
2026-07-24,CERT,"Certara, Inc.",Health Care,74.27,91.8,79.9,1.17B,1261210368.0,0.9097011216828519,9.98%,-0.0010246809997802879,0.24476289161919407,-0.011759223517939133,0.4165733946855698,0.0,32.45%,-15.52%,85.8,
2026-07-24,INSP,"Inspire Medical Systems, Inc.",Health Care,73.13,93.0,58.9,1.42B,1209714304.0,0.5511533031741553,6.04%,0.16027694840943132,0.08749195432799586,0.12238505757790552,0.22708189158016148,0.0,9.51%,-48.48%,97.2,
2026-07-24,GPOR,Gulfport Energy Corporation,Energy,72.47,54.1,53.1,2.83B,3660357376.0,0.649208270769524,5.19%,0.14121285739749267,0.6773462120530975,0.05717387427910208,13.000156167036263,0.0,10.56%,-25.17%,90.7,
2026-07-24,KMPR,Kemper Corporation,Financials,72.24,69.3,95.5,1.7B,2633383680.0,1.5808588091947493,27.1%,0.011489092177315257,,-0.012485748669875856,,,15.39%,-28.11%,92.6,金融・不動産セクター特化評価
2026-07-24,CXM,"Sprinklr, Inc.",Information Technology,71.24,96.0,78.3,1.33B,889276160.0,0.4446728830436523,9.77%,0.019007336558066357,0.08876341577228185,0.01761697147185566,0.6733670552012316,0.0,20.81%,-26.3%,91.7,
2026-07-24,COLL,"Collegium Pharmaceutical, Inc.",Health Care,71.21,85.1,95.8,1.14B,1662255232.0,0.2642403080850606,29.13%,0.037945865427677125,0.5137355281481282,-0.004061695452788576,0.1735518083008001,0.0,27.83%,-29.37%,93.2,
2026-07-24,AGO,Assured Guaranty Ltd.,Financials,70.94,44.7,49.8,3.78B,4242178048.0,1.498167527618897,4.89%,0.0413107752956636,,0.02310730190740274,,,64.15%,-4.95%,72.8,金融・不動産セクター特化評価
2026-07-24,CRGY,Crescent Energy Company,Energy,69.6,10.9,91.6,3.72B,9003890688.0,1.3858129686765328,16.89%,0.010681008521356271,0.4656719319779808,0.3583324718587078,0.6720401850373324,0.0,54.31%,39.29%,21.0,
2026-07-24,HCI,"HCI Group, Inc.",Financials,69.42,90.3,93.5,2.28B,1375505152.0,0.45606648926417054,19.69%,0.1182338919890167,,0.133940121414412,,,57.28%,-6.41%,75.3,金融・不動産セクター特化評価
2026-07-24,LEG,Leggett & Platt,Consumer Discretionary,69.34,71.1,91.3,1.52B,2584083968.0,0.6706588142749014,16.47%,0.06656486822757607,0.11960247589455254,-0.034192702643653046,2.6881308736512355,0.0,64.2%,1.97%,68.8,
2026-07-24,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,69.04,78.1,74.4,1.78B,2147956736.0,1.0366699433144717,8.77%,0.04987519286266828,0.7935289804666203,-0.0030230689300926347,-0.15148018446519967,1.0,81.25%,34.55%,24.7,金融・不動産セクター特化評価
2026-07-24,DLX,Deluxe Corporation,Industrials,68.93,70.5,86.7,1.19B,2590198528.0,0.5711401722631285,13.2%,0.028670205335940772,0.1776673542096381,0.011515365595196043,0.03750342184505886,0.0,63.69%,17.4%,44.4,
2026-07-24,EPAM,EPAM Systems,Information Technology,68.92,52.6,89.6,4.69B,3751902976.0,0.7833612172620213,14.76%,0.07704355815505731,0.12572420000820955,0.031925873486703324,0.02143256988363645,1.0,11.23%,-57.5%,98.8,
2026-07-24,DXC,DXC Technology,Information Technology,68.6,43.8,99.4,1.63B,4293458176.0,1.8055055806562919,49.67%,0.0013964313421256788,0.13571654539702627,-0.023854600530102233,-0.22282608695652173,1.0,27.63%,-33.44%,94.8,要確認: FCF異常値(>30%)
2026-07-24,FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,68.52,29.2,99.0,0.6B,5471629312.0,2.398228839300963,48.51%,0.013582236163275413,0.18885267236062347,0.009140365181446179,-0.18721920126450703,1.0,5.62%,-18.78%,87.7,金融・不動産セクター特化評価
2026-07-24,CRC,California Resources Corporation,Energy,68.41,22.5,77.3,4.75B,6155123200.0,0.7738217326090503,9.23%,0.04903417533432392,0.3288275051425213,0.037561317449194116,0.12916246215943492,0.0,35.58%,22.97%,36.7,
2026-07-24,INVX,"Innovex International, Inc.",Energy,68.0,84.8,67.3,1.87B,1701851520.0,0.564413357220099,7.22%,0.06567652784381069,0.20889424084411873,0.0591440546546381,0.10599893919877033,0.0,67.62%,21.72%,38.9,
2026-07-24,KSS,Kohl's Corp.,Consumer Discretionary,67.67,14.9,98.4,2.03B,8167879680.0,1.9897798614521789,39.67%,0.020356234096692113,0.08527081857409674,-0.014529095066007818,0.12585034013605442,0.0,51.11%,-15.34%,85.2,要確認: FCF異常値(>30%)
2026-07-24,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,67.62,80.9,70.2,1.77B,1969347712.0,0.30629966422663185,7.95%,0.05438645576817736,0.2346343418243401,0.12137934041226374,2.2836615389490027,0.0,40.77%,-5.78%,74.1,
2026-07-24,LNC,Lincoln Financial,Financials,66.75,99.7,97.7,7.91B,-27181764608.0,1.3790089167460053,36.3%,0.0028211618297044132,,0.06747929411945316,,,62.7%,-6.38%,75.0,金融・不動産セクター特化評価
2026-07-24,FLO,Flowers Foods,Consumer Staples,66.68,66.6,89.3,1.64B,2852979712.0,0.7944082995390034,14.63%,0.020035321441128184,0.06832710641476927,0.23038559342345286,-0.3162516824328312,1.0,9.35%,-25.77%,91.4,
2026-07-24,AMSF,"Amerisafe, Inc.",Financials,66.56,98.5,23.3,0.57B,496379872.0,0.44234545831798355,1.57%,0.04170116333375791,,-0.02353360839737051,,,5.37%,-19.04%,88.3,金融・不動産セクター特化評価
2026-07-24,ITRI,"Itron, Inc.",Information Technology,66.54,39.8,71.2,3.73B,4632391168.0,0.4596884027116561,8.06%,0.08091338554742418,0.17498988253603212,0.0918775345746874,0.1629705744454458,0.0,10.04%,-12.69%,81.2,
2026-07-24,EPAC,Enerpac Tool Group,Industrials,66.52,82.4,57.0,1.79B,1825179776.0,0.24269368309463182,5.76%,0.11203369623381533,0.23717658806384836,0.06501631229030731,0.10577548028235009,0.0,18.34%,-14.03%,83.6,
2026-07-24,ADT,ADT Inc.,Consumer Discretionary,66.42,4.3,93.2,5.16B,12956837888.0,0.7319964150751576,19.14%,0.03767427920364944,0.518720190492272,-0.014481753330969611,0.022844041882473624,0.0,29.68%,-12.06%,80.6,
2026-07-24,DV,DoubleVerify Holdings Inc.,Communication Services,65.63,87.8,71.8,1.62B,1514695296.0,0.6981023349558748,8.11%,0.03740541562475537,0.18845743166762663,0.06101817099066768,0.04364911969094825,1.0,31.81%,-8.17%,76.9,
