Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-08-14,GTM,ZoomInfo,Communication Services,81.8,70.5,97.7,1.18B,2620184320.0,1.2796484199596478,30.23%,0.01928721174004193,0.26066426570628254,-0.004344733749768075,1.0838131797824697,0.0,15.15%,-59.5%,99.6,要確認: FCF異常値(>30%)
2026-08-14,INVA,"Innoviva, Inc.",Health Care,80.17,92.8,67.1,1.53B,1251276800.0,0.7661211388530867,7.21%,0.16583341742270657,0.8991291621285203,0.2567944599019261,3.325629539526778,0.0,54.11%,7.24%,59.3,
2026-08-14,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,79.27,92.6,96.6,0.89B,1256614656.0,0.8868274418863682,25.87%,0.060206260483803155,0.2949157298298205,0.0328557753871706,-0.23441466651280868,1.0,29.16%,-19.58%,87.2,
2026-08-14,AGO,Assured Guaranty Ltd.,Financials,77.03,52.2,17.4,3.38B,3834120704.0,1.6768509923973123,0.43%,0.0413107752956636,,0.02310730190740274,,,20.52%,-9.4%,79.6,金融・不動産セクター特化評価
2026-08-14,PRDO,Perdoceo Education Corp.,Consumer Discretionary,76.9,90.8,75.3,2.0B,1374725504.0,0.48545561765902717,9.22%,0.12816528106934505,0.31311813316692194,0.008635979285937168,0.22256781327008093,0.0,45.19%,1.55%,68.2,
2026-08-14,LEG,Leggett & Platt,Consumer Discretionary,76.84,73.3,93.9,1.32B,2426713344.0,0.7746411837178169,18.3%,0.06656486822757607,0.11960247589455254,-0.034192702643653046,2.6881308736512355,0.0,28.33%,-23.04%,89.3,
2026-08-14,DLX,Deluxe Corporation,Industrials,75.29,71.9,91.2,1.1B,2550356480.0,0.6169505543545553,16.75%,0.028670205335940772,0.1776673542096381,0.011515365595196043,0.03750342184505886,0.0,43.96%,1.12%,68.8,
2026-08-14,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,75.27,78.5,60.4,1.62B,2119473664.0,1.1383187539491197,6.15%,0.04987519286266828,0.7935289804666203,-0.0030230689300926347,-0.15148018446519967,1.0,54.86%,18.02%,41.7,金融・不動産セクター特化評価
2026-08-14,COLL,"Collegium Pharmaceutical, Inc.",Health Care,75.08,81.1,98.7,0.88B,2004855552.0,0.34472919432042154,37.03%,0.037945865427677125,0.5137355281481282,-0.004061695452788576,0.1735518083008001,0.0,10.9%,-39.81%,96.6,要確認: FCF異常値(>30%)
2026-08-14,NABL,"N-able, Inc.",Information Technology,73.41,96.4,82.2,0.65B,1015878272.0,1.2382450777413334,10.78%,-0.012080237973311696,0.16120485696967327,0.05307477254682574,-0.25067711268245685,1.0,8.94%,-51.27%,98.6,
2026-08-14,KMPR,Kemper Corporation,Financials,72.66,70.7,88.1,1.62B,2601021952.0,1.6596181769552711,13.65%,0.011489092177315257,,-0.012485748669875856,,,14.68%,-27.48%,91.9,金融・不動産セクター特化評価
2026-08-14,INSP,"Inspire Medical Systems, Inc.",Health Care,71.34,90.6,56.4,1.65B,1390992768.0,0.47320589904206783,5.73%,0.16027694840943132,0.08749195432799586,0.12238505757790552,0.22708189158016148,0.0,16.82%,-40.81%,96.8,
2026-08-14,AMSF,"Amerisafe, Inc.",Financials,71.22,99.2,65.8,0.52B,415098432.0,0.4865000048263659,7.01%,0.04170116333375791,,-0.02353360839737051,,,2.7%,-26.19%,91.1,金融・不動産セクター特化評価
2026-08-14,EFOR,Everforth Inc.,Information Technology,70.65,69.3,91.0,1.3B,2715150080.0,1.3893274220973617,16.44%,0.030865036847687162,0.086373228821224,0.07241178186060075,-0.14200149737958573,1.0,38.83%,-36.69%,95.3,
2026-08-14,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,70.57,83.9,69.4,1.76B,1851348864.0,0.3075526882681753,7.52%,0.05438645576817736,0.2346343418243401,0.12137934041226374,2.2836615389490027,0.0,21.77%,-10.26%,80.4,
