Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-06-12,AMSF,"Amerisafe, Inc.",Financials,64.83,97.4,42.4,0.59B,531410048.0,0.42301025691681743,3.78%,0.04170116333375791,,-0.02353360839737051,,,12.91%,-18.94%,87.0,金融・不動産セクター特化評価
2026-06-12,DFIN,"Donnelley Financial Solutions, Inc.",Financials,64.16,91.2,86.5,0.93B,1139943680.0,0.4075912827334495,12.96%,0.04047976011994003,0.160625814863103,-0.04895437262357415,-0.41249403910348115,1.0,3.75%,-20.12%,87.3,金融・不動産セクター特化評価
2026-06-12,AHCO,AdaptHealth Corp.,Health Care,64.07,52.4,93.6,1.37B,3304654080.0,1.1050943326189138,19.5%,-0.016400495114531722,0.14562305827344627,-0.037970138715701346,-0.24759522372659512,1.0,37.99%,8.37%,61.5,
2026-06-12,INVX,"Innovex International, Inc.",Energy,63.99,78.2,65.5,1.98B,1844871680.0,0.5350450996754806,6.84%,0.06567652784381069,0.20889424084411873,0.0591440546546381,0.10599893919877033,0.0,80.11%,42.12%,22.6,
2026-06-12,EPAC,Enerpac Tool Group,Industrials,63.98,77.0,54.2,1.86B,1903882368.0,0.23332167551662233,5.25%,0.11203369623381533,0.23717658806384836,0.06501631229030731,0.10577548028235009,0.0,21.76%,-12.24%,78.8,
2026-06-12,LYFT,"Lyft, Inc.",Industrials,63.46,34.1,95.1,5.21B,4774052352.0,0.628864835694593,23.39%,0.31494920350965827,0.016265160670212962,0.6614422006417949,-0.4943222929371982,1.0,9.56%,-44.2%,95.7,
2026-06-12,ABR,Arbor Realty Trust,Financials,63.42,4.0,50.0,1.08B,12745161728.0,2.7446953731093475,,0.010265401569089493,,0.07441430686174712,,,0.8%,-38.23%,94.0,金融・不動産セクター特化評価
2026-06-12,HLX,"Helix Energy Solutions Group, Inc.",Energy,63.36,82.7,89.2,1.44B,1563572864.0,1.097217093565485,14.48%,0.011784453863750351,0.16259793073650727,0.007248140219015202,-0.17054355425470144,1.0,81.26%,46.92%,18.5,
2026-06-12,EYE,National Vision Holdings,Consumer Discretionary,63.35,73.2,73.6,1.46B,2086128128.0,0.5947032783051985,8.54%,0.014921776618987557,0.07986060796341915,-0.011999874487678126,0.7718068361947713,0.0,22.92%,-26.23%,90.9,
2026-06-12,CENTA,Central Garden & Pet Company (Class A),Consumer Staples,63.22,57.6,80.3,2.33B,3095834112.0,0.6796570532555706,10.21%,0.044914240039628836,0.11483977317178555,0.02031947079997715,0.23587232037529363,0.0,95.91%,29.95%,33.2,
2026-06-12,CARG,CarGurus,Communication Services,62.98,64.2,75.1,2.5B,2612324864.0,0.14989631702059586,8.79%,0.23553966855870323,0.30131866193300844,-0.19724911950478816,0.4067969361281555,0.0,9.9%,-22.36%,89.2,
2026-06-12,IIIN,"Insteel Industries, Inc.",Industrials,62.5,97.2,14.5,0.56B,549573824.0,0.6615352523655531,-0.43%,0.08866313628012537,0.11154289137355529,0.09489482951210738,0.7712373434014073,0.0,26.32%,-7.6%,76.4,
2026-06-12,CRSR,Corsair Gaming,Information Technology,62.21,92.4,62.1,0.96B,1039464768.0,0.6623038260075328,6.24%,-0.012888184886710948,0.03490098337498642,0.014528709068973135,13.913232733604179,0.0,51.86%,36.64%,26.4,
2026-06-12,BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,62.13,29.6,71.2,3.44B,5173952000.0,0.3898112892967347,8.15%,0.0496492829730952,0.13910077253019917,0.010202790989525803,0.18439238746491668,0.0,10.5%,-34.71%,93.0,
2026-06-12,EVTC,"EVERTEC, Inc.",Financials,62.08,66.4,70.9,1.57B,2509285632.0,0.39715255712256026,8.14%,0.06311694934596238,0.3699638770661224,0.20762420119174574,0.06993684145187071,1.0,22.48%,-12.62%,80.0,金融・不動産セクター特化評価
2026-06-12,CCS,"Century Communities, Inc.",Consumer Discretionary,62.04,54.0,76.6,1.75B,3205712128.0,1.4851088869743876,8.99%,0.033094276883200165,0.05722086659530198,-0.016012674761145793,-0.4897506193371793,1.0,46.6%,2.26%,69.2,
2026-06-12,ABM,"ABM Industries, Inc.",Industrials,61.88,36.3,81.0,2.7B,4578595328.0,0.6603317108896415,10.5%,0.03081886326975994,0.048239746624132454,0.033802872165110256,0.29735547355473557,0.0,69.91%,10.7%,59.1,
2026-06-12,FCPT,"Four Corners Property Trust, Inc.",Real Estate,61.83,65.6,54.9,2.73B,2536372736.0,0.5973150866172874,5.44%,0.03847125680395901,0.7652618552214652,0.10090364738227217,0.09987881630897932,1.0,40.04%,6.64%,63.5,金融・不動産セクター特化評価
2026-06-12,APAM,"Artisan Partners Asset Management, Inc.",Financials,61.79,63.7,83.3,2.52B,2652292864.0,0.17421944214384452,11.51%,0.1840623042531123,0.4237194657254021,-0.02561473131219282,0.10464812297396214,0.0,7.86%,-13.45%,81.0,金融・不動産セクター特化評価
2026-06-12,ENR,Energizer,Consumer Staples,61.56,35.5,90.4,1.36B,4595353088.0,0.12481149130570351,15.79%,0.0524502381109136,0.19138415687337013,0.049350589535740605,0.7124242424242424,0.0,28.4%,-14.4%,82.9,
2026-06-12,KFY,Korn/Ferry International,Industrials,61.54,51.2,69.2,3.8B,3409100032.0,0.491011340039139,7.67%,0.06372642457417647,0.16137201086818737,0.049568223277317025,0.38555737990397293,0.0,73.2%,13.34%,54.1,
2026-06-12,APOG,"Apogee Enterprises, Inc.",Industrials,61.4,91.9,77.3,0.85B,1085942912.0,0.6018199021423253,9.08%,0.0482302678766333,0.10068105469153213,-0.04503139281304961,-0.13414268309854843,1.0,47.19%,17.14%,48.8,
2026-06-12,TRIP,TripAdvisor,Communication Services,61.3,83.6,86.9,1.39B,1511561472.0,0.46541447189227936,13.07%,0.015238095238095238,0.10597567424643047,0.024990238188207732,-0.0811554332874828,1.0,26.01%,-24.86%,90.4,
2026-06-12,GOGO,"Gogo, Inc.",Communication Services,61.29,88.2,52.0,0.49B,1288765184.0,0.20543473759965541,4.98%,0.009912009154974949,0.17684414233638773,0.060640351569395824,0.7138006641689373,0.0,2.59%,-49.86%,96.9,
2026-06-12,UFCS,"United Fire Group, Inc.",Financials,61.26,90.0,94.3,1.22B,1208557184.0,0.7687335858876271,21.88%,0.03077258344574513,,0.10099559434238917,,,90.81%,30.04%,32.7,金融・不動産セクター特化評価
2026-06-12,USPH,"U.S. Physical Therapy, Inc.",Health Care,61.21,81.5,46.1,1.0B,1648481152.0,0.4758399789318122,4.3%,0.012509862874893066,0.14041537023521428,0.031301098874743354,0.2618721592543582,0.0,21.52%,-7.5%,76.2,
2026-06-12,JBGS,JBG Smith,Real Estate,61.07,46.0,82.8,0.88B,3835912192.0,1.3199027251565525,11.4%,-0.031690279661938145,0.3069988247044713,-0.125952387591773,-0.009781279717429698,0.0,4.56%,-17.75%,85.6,金融・不動産セクター特化評価
2026-06-12,ALRM,"Alarm.Com, Inc.",Financials,60.79,68.0,43.6,2.3B,2406823680.0,0.36949495244217384,3.9%,0.06204931126266094,0.2275543494922304,0.048269362106320844,0.1780969203594194,0.0,27.27%,-7.46%,76.0,金融・不動産セクター特化評価
2026-06-12,WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,60.73,71.8,64.3,1.49B,2176649472.0,0.2731198876776789,6.53%,0.05604633475691804,0.09614255988902523,0.020843287147634972,0.4188976377952756,0.0,24.57%,15.21%,51.2,
2026-06-12,WU,Western Union,Financials,60.61,43.8,85.5,2.29B,4001124864.0,0.4187973649413216,12.71%,0.06015001384557965,0.2306021181524181,-0.007717579595006272,0.018092643051771117,0.0,2.57%,-13.64%,81.2,金融・不動産セクター特化評価
2026-06-12,WD,"Walker & Dunlop, Inc.",Financials,60.28,30.3,0.5,1.8B,5067424256.0,0.9649956860747476,-37.85%,0.011282586859751144,0.2804677284239078,0.15460659111048328,-0.019061517100677227,1.0,21.35%,-18.46%,86.5,金融・不動産セクター特化評価
2026-06-12,TMDX,"TransMedics Group, Inc.",Health Care,60.17,60.0,45.6,2.54B,2945013504.0,0.18601542469626303,4.28%,0.178112887540213,0.24523612124975638,0.3286965411229784,1.1228787510543696,0.0,14.06%,-38.25%,94.2,
2026-06-12,CLB,Core Laboratories,Energy,60.02,95.3,68.0,0.61B,762062016.0,0.43548506499691464,7.24%,0.05080221229088543,0.13506989288156196,-0.0019141045579614787,-0.03254023316872764,1.0,33.18%,-14.07%,82.2,
2026-06-12,AMTM,Amentum,Industrials,59.98,8.5,84.2,5.39B,8987504640.0,0.8351091851371389,12.15%,0.005759162303664921,0.06857500173695547,-0.04292634040420912,0.7438162544169611,0.0,5.71%,-3.83%,73.6,
2026-06-12,TALO,"Talos Energy, Inc.",Energy,59.9,50.7,93.8,2.47B,3433011200.0,0.8775479127857823,21.3%,-0.0890282646593866,0.4159752144578584,-0.10332028111395807,-0.4111188872364622,1.0,76.01%,42.44%,22.4,
2026-06-12,BANR,Banner Corporation,Financials,59.85,73.5,82.0,2.27B,2069752960.0,0.8571136837391046,10.92%,0.011946690107327114,,0.009533990570515363,,,76.68%,9.51%,59.6,金融・不動産セクター特化評価
2026-06-12,HZO,"MarineMax, Inc.",Consumer Discretionary,59.75,79.9,91.9,0.74B,1768125568.0,1.26547000932623,17.09%,-0.012803802402650865,0.036087746526202016,-0.05168003292044584,-0.5174827604175714,1.0,82.28%,43.19%,21.2,
2026-06-12,FG,"F&G Annuities & Life, Inc.",Financials,59.65,46.2,96.1,3.79B,3802070784.0,1.2678570004928027,30.48%,0.002692268617291476,,0.1589407872272786,,,49.78%,-12.45%,79.3,金融・不動産セクター特化評価
2026-06-12,CSR,Centerspace Trust,Real Estate,59.57,72.7,79.8,1.02B,2099740928.0,0.7083166694185441,10.08%,0.009130568637091177,0.6668518098968801,0.006510923563534021,0.3958817770162771,0.0,29.67%,-11.25%,78.1,金融・不動産セクター特化評価
2026-06-12,TRUP,Trupanion,Financials,59.52,95.5,10.8,1.02B,741605824.0,0.37791921172062354,-1.34%,0.021237230122267345,0.03584299366708238,0.134090100675092,1.4190659289130638,0.0,5.8%,-40.14%,94.7,金融・不動産セクター特化評価
2026-06-12,LZ,"LegalZoom.com, Inc.",Industrials,59.29,94.3,86.2,1.01B,846508288.0,0.1694356528022257,12.93%,0.030159015643510933,0.10732458339009818,0.3681338814548936,0.0068744726261974485,1.0,8.85%,-42.45%,95.2,
2026-06-12,HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,59.27,82.9,68.2,2.04B,1561513216.0,0.42703332831673607,7.35%,0.12479013172846526,0.2936808324687692,0.27264911929543634,0.0926944630096139,1.0,63.06%,4.95%,65.9,
2026-06-12,EIG,"Employers Holdings, Inc.",Financials,59.08,95.0,32.3,0.85B,807753984.0,1.1287965643878317,2.51%,0.0031426409823662924,,-0.029565413831078982,,,87.68%,20.79%,43.5,金融・不動産セクター特化評価
2026-06-12,FWRD,Forward Air Corp.,Industrials,58.87,67.5,88.2,0.4B,2448161792.0,0.28512290350747055,14.06%,-0.03964627443595749,0.07462091973205276,-0.029863617923237405,1.2031203123585184,0.0,19.14%,-43.81%,95.4,
2026-06-12,LKQ,LKQ Corporation,Consumer Discretionary,58.86,5.5,83.5,6.62B,11544465408.0,0.9875419359524479,11.93%,0.040100416198718375,0.10563328693868582,0.01216984286191909,-0.08152866242038216,1.0,12.67%,-13.67%,81.5,
2026-06-12,LPG,Dorian LPG Ltd.,Energy,58.74,70.6,34.2,1.86B,2244466944.0,0.6114570150729111,2.71%,0.10347100848392092,0.6066832890269258,0.052304781326763534,0.5137858729380462,0.0,81.2%,75.84%,8.9,
2026-06-12,LZB,"La-Z-Boy, Inc.",Consumer Discretionary,58.65,77.7,83.7,1.61B,1867817472.0,0.6345983984733888,12.1%,0.05179376139992363,0.1286312818040145,0.004557232463800837,-0.06731707987844286,1.0,82.79%,27.78%,34.1,
2026-06-12,CUBI,"Customers Bancorp, Inc.",Financials,58.63,99.1,85.7,2.61B,-238885712.0,0.8099305373624145,12.78%,0.009001011734156045,,0.11599421935597701,,,83.57%,14.65%,51.9,金融・不動産セクター特化評価
2026-06-12,THRM,Gentherm Incorporated,Consumer Discretionary,58.48,90.3,76.8,1.11B,1202508800.0,0.6510064949412581,9.03%,0.013094113628405025,0.06874740591564672,0.11933171737380927,-0.395889527383605,1.0,72.76%,-3.14%,73.1,
2026-06-12,TILE,"Interface, Inc.",Industrials,58.44,74.2,53.4,1.82B,2042427904.0,0.3523439466650673,5.16%,0.0962253485638886,0.14202648584494115,0.030496679239094784,0.08564688504169629,0.0,74.9%,17.73%,47.4,
2026-06-12,ABG,Asbury Automotive Group,Consumer Discretionary,58.39,7.8,87.2,3.71B,9101777920.0,1.0479046972184813,13.13%,0.04234735156908988,0.05685315850880605,0.12394311695849859,0.1131295550962689,1.0,26.8%,-11.25%,77.6,
2026-06-12,ADNT,Adient,Consumer Discretionary,58.27,44.3,93.1,1.76B,3941596416.0,1.003639234509557,18.37%,-0.0313826222917132,0.030134158926728587,-0.04245535236873062,-0.3323170731707317,1.0,49.27%,6.35%,64.2,
2026-06-12,ACIW,ACI Worldwide,Information Technology,58.16,29.4,57.6,4.51B,5202938368.0,0.3368462543292921,5.8%,0.07299993204305315,0.26773941317731403,0.026316128718772033,0.062259327062685436,0.0,38.88%,-6.75%,75.2,
2026-06-12,CNXN,"PC Connection, Inc.",Information Technology,58.15,85.3,56.9,1.83B,1422297856.0,0.49832838758483383,5.71%,0.0619738327442308,0.04286247374463319,0.03968972273914576,0.05067665580149154,0.0,87.02%,23.24%,39.4,
2026-06-12,HFWA,Heritage Financial Corporation,Health Care,58.1,93.6,67.5,1.19B,962207296.0,0.7757249096347959,7.21%,0.009692637803469038,,-0.019550037305042105,,,97.78%,31.18%,31.7,
2026-06-12,BKE,"The Buckle, Inc.",Consumer Discretionary,57.98,67.8,75.6,2.32B,2413696512.0,0.18276275603407566,8.86%,0.21158927002387823,0.22103117884785045,0.08553253326587623,0.08513109166770692,1.0,14.04%,-14.31%,82.7,
2026-06-12,GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,57.97,86.3,73.4,1.5B,1404282752.0,1.1696983316783367,8.53%,0.0257976421201002,0.04741035883520256,0.05137896791039427,-0.5565547454490819,1.0,94.69%,25.68%,36.1,
2026-06-12,CENT,Central Garden & Pet Company,Consumer Staples,57.71,50.9,76.4,2.65B,3418073600.0,0.5970654170717727,8.97%,0.044914240039628836,0.11483977317178555,0.02031947079997715,0.23587232037529363,0.0,99.71%,33.56%,29.3,
