Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-06-26,GTM,ZoomInfo,Communication Services,83.97,73.9,98.4,0.85B,2162714112.0,1.771325238973812,41.66%,0.01928721174004193,0.26066426570628254,-0.004344733749768075,1.0838131797824697,0.0,3.51%,-70.87%,99.4,要確認: FCF異常値(>30%)
2026-06-26,CERT,"Certara, Inc.",Health Care,79.23,93.2,86.6,0.91B,1009195712.0,1.1698383127028713,12.83%,-0.0010246809997802879,0.24476289161919407,-0.011759223517939133,0.4165733946855698,0.0,14.74%,-36.24%,95.5,
2026-06-26,CALM,"Cal-Maine Foods, Inc.",Consumer Staples,79.13,68.5,74.8,3.8B,2561781248.0,0.6736669309267014,8.67%,0.3955263194579298,0.39836246168068823,0.41187937719503415,2.8519174790873056,0.0,15.25%,-2.42%,74.8,
2026-06-26,GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,76.29,98.8,58.1,0.46B,125639744.0,1.1850286865990973,5.86%,0.015774445659090537,0.05635376019542186,0.03495150221549768,0.21941992433795712,0.0,4.65%,-37.56%,95.8,
2026-06-26,INSP,"Inspire Medical Systems, Inc.",Health Care,75.9,93.8,64.3,1.32B,997649472.0,0.5929840245992449,6.5%,0.16027694840943132,0.08749195432799586,0.12238505757790552,0.22708189158016148,0.0,6.3%,-63.25%,99.1,
2026-06-26,EFOR,Everforth Inc.,Information Technology,75.82,76.0,96.6,0.8B,2087760000.0,2.2437530531956735,33.59%,0.030865036847687162,0.086373228821224,0.07241178186060075,-0.14200149737958573,1.0,6.18%,-56.43%,98.5,要確認: FCF異常値(>30%)
2026-06-26,AGO,Assured Guaranty Ltd.,Financials,74.65,47.2,52.8,3.53B,3932364032.0,1.603153922561348,5.23%,0.0413107752956636,,0.02310730190740274,,,35.69%,-11.06%,79.8,金融・不動産セクター特化評価
2026-06-26,INVA,"Innoviva, Inc.",Health Care,73.86,86.9,60.9,1.74B,1442921344.0,0.6741735133200257,6.05%,0.16583341742270657,0.8991291621285203,0.2567944599019261,3.325629539526778,0.0,81.69%,8.47%,62.3,
2026-06-26,CXM,"Sprinklr, Inc.",Information Technology,73.69,95.5,82.0,1.21B,751081216.0,0.49034667307820823,10.77%,0.019007336558066357,0.08876341577228185,0.01761697147185566,0.6733670552012316,0.0,9.5%,-28.63%,91.4,
2026-06-26,CRGY,Crescent Energy Company,Energy,73.59,12.5,92.2,3.34B,8577866240.0,1.5432918043793693,18.81%,0.010681008521356271,0.4656719319779808,0.3583324718587078,0.6720401850373324,0.0,36.91%,9.42%,60.5,
2026-06-26,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,73.12,88.7,81.4,0.96B,1322141952.0,0.8213777122619819,10.74%,0.060206260483803155,0.2949157298298205,0.0328557753871706,-0.23441466651280868,1.0,35.11%,-21.37%,89.0,
2026-06-26,KMPR,Kemper Corporation,Financials,72.91,70.3,95.7,1.58B,2501505536.0,1.6987893580870674,29.12%,0.011489092177315257,,-0.012485748669875856,,,9.75%,-32.77%,92.9,金融・不動産セクター特化評価
2026-06-26,GBX,"The Greenbrier Companies, Inc.",Industrials,72.38,60.5,75.2,1.56B,3041135872.0,0.983394929042072,8.69%,0.04680548548364904,0.149743842972656,0.0249383006228699,0.12003693444136658,0.0,57.92%,14.73%,53.7,
2026-06-26,DLX,Deluxe Corporation,Industrials,72.36,70.9,89.1,1.1B,2484894976.0,0.621022462481043,14.35%,0.028670205335940772,0.1776673542096381,0.011515365595196043,0.03750342184505886,0.0,51.14%,20.57%,45.7,
