Ticker,Company_Name,Total_Score,Score_Size,Score_FCFP,Market_Cap,Enterprise_Value,BM_Ratio,FCF_Yield,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range,Data_Quality_Flag
7991.T,マミヤ・オーピー,87.38,63.5,99.3,14810684416.0,12238793728.0,1.6954149649474242,0.41864932273498523,0.11614274284591289,0.2079857664054166,0.05603303527296769,0.2074281245215291,0.0,0.3716608594657375,要確認: FCF異常値(>30%)
8135.T,ゼット,87.01,97.5,95.3,9395916800.0,-218490432.0,1.5487578604357162,0.21221984426256307,0.09133367929423974,0.07881176662026072,0.10900842953383662,2.7256410256410257,0.0,0.4806201550387597,
7877.T,永大化工,84.68,93.8,98.0,2457711872.0,1412116480.0,2.9311906257496405,0.29613927014468194,0.018802305178531153,0.06854743384879666,0.02845359343839718,0.08086601726053148,0.0,0.5879873551106428,
7908.T,きもと,83.12,97.7,87.4,12095455232.0,-293446336.0,1.557113778584568,0.1186396024354282,0.04291417165668663,0.16716840800425004,0.019779636267091463,1.6368715083798884,0.0,0.6632653061224489,
8119.T,三栄コーポレーション,82.47,74.9,99.5,8203284480.0,7327800320.0,1.631057783333146,0.4401983143220214,0.04110360875734305,0.04810268738258003,0.11684363945874181,0.45762379443954126,0.0,0.23306233062330622,要確認: FCF異常値(>30%)
7815.T,東京ボード工業,82.35,71.5,93.6,1036751616.0,8422710784.0,1.490311638925866,0.18489578124756934,0.02340211128836556,0.1610115611458298,0.0596609845432538,1.8656580743004558,0.0,0.15309446254071662,
7521.T,ムサシ,82.17,96.6,92.1,19079925760.0,317678016.0,1.780143194854863,0.16158343794310445,0.06890044367709944,0.13853601133962717,0.10614909728853457,2.2314410480349345,0.0,0.9292158223455933,
8166.T,タカキュー,81.97,96.8,98.5,2625863680.0,174995936.0,0.40974480442183503,0.3480241106804143,0.34589628689501245,0.21233326773834169,0.014454282228148102,8.343177890556246,0.0,0.02631578947368421,要確認: FCF異常値(>30%)
7997.T,くろがね工作所,81.84,94.7,65.9,1602469376.0,1004046976.0,3.025220370888386,0.060453573372999045,0.04716220630603141,0.1138461645193542,0.06057571930789397,0.8327406471067521,0.0,0.5517241379310345,
7805.T,プリントネット,81.17,84.5,97.8,3466871296.0,3706365696.0,1.2028767854207645,0.2938759224132444,0.05783044518755141,0.1278272147605481,0.044809981400683416,0.39674226926383827,0.0,0.6931818181818182,
8181.T,東天紅,80.06,84.2,63.5,2588723456.0,3757396480.0,2.5852622397685727,0.057405078033951264,0.03944560865941136,0.15852705057080801,0.03689484814213344,5.6730231352819755,0.0,0.4637404580152672,
