Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
FUL,H.B. Fuller Company,Materials,66.15,34.6,68.3,2.78B,4873991168.0,0.7217684147294776,7.91%,0.029321941086374568,0.15174046209842326,0.05056753730405388,0.07459168965355548,0.0,14.51%,-21.94%,86.5,
LGIH,LGI Homes,Consumer Discretionary,65.92,67.0,90.7,1.15B,2673359616.0,1.8258142245712798,18.14%,0.0184740334310949,0.04930976415182843,0.04488664995447693,-0.6093080732529942,1.0,48.53%,-17.32%,80.7,
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,65.78,31.1,99.0,0.65B,5115451392.0,2.2311480871767984,45.13%,0.013582236163275413,0.18885267236062347,0.009140365181446179,-0.18721920126450703,1.0,10.39%,-6.23%,66.2,金融・不動産セクター特化評価
APOG,"Apogee Enterprises, Inc.",Industrials,65.41,94.3,84.0,0.79B,1045784000.0,0.6474381046975806,12.97%,0.0482302678766333,0.10068105469153213,-0.04503139281304961,-0.13414268309854843,1.0,35.42%,-7.21%,68.8,
FG,"F&G Annuities & Life, Inc.",Financials,65.4,65.4,100.0,3.02B,2728056576.0,1.5917528657171094,75.17%,0.002692268617291476,,0.1589407872272786,,,16.8%,-16.63%,80.1,金融・不動産セクター特化評価
DXC,DXC Technology,Information Technology,64.7,42.2,99.7,1.82B,4307879424.0,1.6160412432100113,48.19%,0.0013964313421256788,0.13571654539702627,-0.023854600530102233,-0.22282608695652173,1.0,44.86%,-12.45%,75.2,要確認: FCF異常値(>30%)
ENOV,Enovis,Health Care,64.69,73.3,89.0,1.11B,2470450944.0,1.3397679658176374,16.72%,-0.3088712472328611,-0.36930556228978995,-0.1873451532038916,-0.7259223995276782,1.0,7.38%,-12.0%,74.6,
ADT,ADT Inc.,Consumer Discretionary,64.65,3.2,95.0,5.15B,12899141632.0,0.733647643466477,23.25%,0.03767427920364944,0.518720190492272,-0.014481753330969611,0.022844041882473624,0.0,30.06%,-5.43%,64.6,
EPAC,Enerpac Tool Group,Industrials,64.1,83.2,53.0,1.82B,1870180864.0,0.2389037400162525,5.67%,0.11203369623381533,0.23717658806384836,0.06501631229030731,0.10577548028235009,0.0,22.69%,-15.96%,79.4,
ADNT,Adient,Consumer Discretionary,63.84,51.1,95.3,1.48B,3564345088.0,1.1905525173290514,23.9%,-0.0313826222917132,0.030134158926728587,-0.04245535236873062,-0.3323170731707317,1.0,16.18%,-26.76%,91.0,
CERT,"Certara, Inc.",Health Care,63.65,92.1,50.7,1.15B,1269508480.0,0.9228311871589642,5.43%,-0.0010246809997802879,0.24476289161919407,-0.011759223517939133,0.4165733946855698,0.0,32.87%,13.19%,37.0,
INVX,"Innovex International, Inc.",Energy,63.59,82.5,70.3,2.1B,1951860480.0,0.5027831309155151,8.27%,0.06567652784381069,0.20889424084411873,0.0591440546546381,0.10599893919877033,0.0,79.32%,22.28%,26.7,
ABR,Arbor Realty Trust,Financials,63.51,4.1,50.0,0.96B,12470293504.0,3.0864489762298803,,0.010265401569089493,,0.07441430686174712,,,0.0%,-29.84%,93.2,金融・不動産セクター特化評価
HCI,"HCI Group, Inc.",Financials,63.43,88.9,91.3,2.31B,1604551808.0,0.4506298725025611,18.32%,0.1182338919890167,,0.133940121414412,,,62.33%,15.79%,33.8,金融・不動産セクター特化評価
KOP,"Koppers Holdings, Inc.",Materials,62.81,83.5,92.0,0.88B,1838651136.0,0.6548391251473411,18.58%,0.029679881280474878,0.11754376629596126,-0.0017987514548725003,0.03708920187793427,0.0,76.25%,36.33%,16.1,
GT,Goodyear Tire and Rubber Company,Consumer Discretionary,62.17,8.9,96.3,1.55B,9058576384.0,2.09118111627411,32.16%,-0.0945188927943761,0.07423413566739606,-0.129678313656135,-0.2022339800117578,1.0,0.38%,-42.51%,98.1,要確認: FCF異常値(>30%)
FHB,"First Hawaiian, Inc.",Financials,61.75,78.7,74.0,3.13B,2114876672.0,0.8836844012618471,9.68%,0.011532585839631326,,0.005332592250203183,,,39.19%,1.66%,53.4,金融・不動産セクター特化評価
FCPT,"Four Corners Property Trust, Inc.",Real Estate,61.74,72.7,62.3,2.63B,2473791232.0,0.6187456823466353,7.21%,0.03847125680395901,0.7652618552214652,0.10090364738227217,0.09987881630897932,1.0,29.17%,2.13%,52.1,金融・不動産セクター特化評価
GPOR,Gulfport Energy Corporation,Energy,61.31,45.1,33.3,3.11B,3985085696.0,0.5893275051981343,3.28%,0.14121285739749267,0.6773462120530975,0.05717387427910208,13.000156167036263,0.0,31.42%,-13.16%,76.2,
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,60.96,32.4,64.0,3.17B,5057142272.0,0.4228719754533082,7.58%,0.0496492829730952,0.13910077253019917,0.010202790989525803,0.18439238746491668,0.0,13.32%,-20.42%,84.2,
